title	year	url	semanticscholar_tldr	use	citation_count	abstract	semanticscholar_id	bibtex
What Happens To BERT Embeddings During Fine-tuning?	2020	https://www.semanticscholar.org/paper/b2fd96a52ded7a64f60c1e54f5bb488c787629c0	It is found that fine-tuning is a conservative process that primarily affects the top layers of BERT, albeit with noteworthy variation across tasks, whereas SQuAD and MNLI involve much shallower processing.	maybe	73	While much recent work has examined how linguistic information is encoded in pre-trained sentence representations, comparatively little is understood about how these models change when adapted to solve downstream tasks. Using a suite of analysis techniques—supervised probing, unsupervised similarity analysis, and layer-based ablations—we investigate how fine-tuning affects the representations of the BERT model. We find that while fine-tuning necessarily makes some significant changes, there is no catastrophic forgetting of linguistic phenomena. We instead find that fine-tuning is a conservative process that primarily affects the top layers of BERT, albeit with noteworthy variation across tasks. In particular, dependency parsing reconfigures most of the model, whereas SQuAD and MNLI involve much shallower processing. Finally, we also find that fine-tuning has a weaker effect on representations of out-of-domain sentences, suggesting room for improvement in model generalization.	b2fd96a52ded7a64f60c1e54f5bb488c787629c0	@['JournalArticle']{merchant-etal-2020-what,  author = {Amil Merchant and Elahe Rahimtoroghi and Ellie Pavlick and Ian Tenney},  booktitle = {BlackboxNLP Workshop on Analyzing and Interpreting Neural Networks for NLP},  pages = {33-44},  title = {What Happens To BERT Embeddings During Fine-tuning?},  year = {2020} }
What Does My QA Model Know? Devising Controlled Probes Using Expert Knowledge	2019	https://www.semanticscholar.org/paper/5a9001cdccdb8b1de227a45eccc503d32d1a2464	A methodology for automatically building probe datasets from expert knowledge sources, allowing for systematic control and a comprehensive evaluation, and confirms that transformer-based multiple-choice QA models are already predisposed to recognize certain types of structural linguistic knowledge.	seed	35	Abstract Open-domain question answering (QA) involves many knowledge and reasoning challenges, but are successful QA models actually learning such knowledge when trained on benchmark QA tasks? We investigate this via several new diagnostic tasks probing whether multiple-choice QA models know definitions and taxonomic reasoning—two skills widespread in existing benchmarks and fundamental to more complex reasoning. We introduce a methodology for automatically building probe datasets from expert knowledge sources, allowing for systematic control and a comprehensive evaluation. We include ways to carefully control for artifacts that may arise during this process. Our evaluation confirms that transformer-based multiple-choice QA models are already predisposed to recognize certain types of structural linguistic knowledge. However, it also reveals a more nuanced picture: their performance notably degrades even with a slight increase in the number of “hops” in the underlying taxonomic hierarchy, and with more challenging distractor candidates. Further, existing models are far from perfect when assessed at the level of clusters of semantically connected probes, such as all hypernym questions about a single concept.	5a9001cdccdb8b1de227a45eccc503d32d1a2464	@['JournalArticle']{richardson-sabharwal-2019-what,  author = {Kyle Richardson and Ashish Sabharwal},  booktitle = {Transactions of the Association for Computational Linguistics},  journal = {Transactions of the Association for Computational Linguistics},  pages = {572-588},  title = {What Does My QA Model Know? Devising Controlled Probes Using Expert Knowledge},  volume = {8},  year = {2019} }
What Does it Mean for a Language Model to Preserve Privacy?	2022	http://www.semanticscholar.org/paper/62d17b6f6ad77fd71ef9954c7784700d5e316f1f	It is argued that existing protection methods cannot guarantee a generic and meaningful notion of privacy for language models, and it is concluded that language models should be trained on text data which was explicitly produced for public use.	maybe	19	Natural language reflects our private lives and identities, making its privacy concerns as broad as those of real life. Language models lack the ability to understand the context and sensitivity of text, and tend to memorize phrases present in their training sets. An adversary can exploit this tendency to extract training data. Depending on the nature of the content and the context in which this data was collected, this could violate expectations of privacy. Thus, there is a growing interest in techniques for training language models that preserve privacy. In this paper, we discuss the mismatch between the narrow assumptions made by popular data protection techniques (data sanitization and differential privacy), and the broadness of natural language and of privacy as a social norm. We argue that existing protection methods cannot guarantee a generic and meaningful notion of privacy for language models. We conclude that language models should be trained on text data which was explicitly produced for public use.	62d17b6f6ad77fd71ef9954c7784700d5e316f1f	@['JournalArticle', 'Book']{brown-etal-2022-what,  author = {Hannah Brown and Katherine Lee and FatemehSadat Mireshghallah and R. Shokri and Florian Tramèr},  booktitle = {Conference on Fairness, Accountability and Transparency},  journal = {2022 ACM Conference on Fairness, Accountability, and Transparency},  title = {What Does it Mean for a Language Model to Preserve Privacy?},  year = {2022} }
What Does BERT Look at? An Analysis of BERT’s Attention	2019	https://www.semanticscholar.org/paper/95a251513853c6032bdecebd4b74e15795662986	It is shown that certain attention heads correspond well to linguistic notions of syntax and coreference, and an attention-based probing classifier is proposed and used to demonstrate that substantial syntactic information is captured in BERT’s attention.	seed	922	Large pre-trained neural networks such as BERT have had great recent success in NLP, motivating a growing body of research investigating what aspects of language they are able to learn from unlabeled data. Most recent analysis has focused on model outputs (e.g., language model surprisal) or internal vector representations (e.g., probing classifiers). Complementary to these works, we propose methods for analyzing the attention mechanisms of pre-trained models and apply them to BERT. BERT’s attention heads exhibit patterns such as attending to delimiter tokens, specific positional offsets, or broadly attending over the whole sentence, with heads in the same layer often exhibiting similar behaviors. We further show that certain attention heads correspond well to linguistic notions of syntax and coreference. For example, we find heads that attend to the direct objects of verbs, determiners of nouns, objects of prepositions, and coreferent mentions with remarkably high accuracy. Lastly, we propose an attention-based probing classifier and use it to further demonstrate that substantial syntactic information is captured in BERT’s attention.	95a251513853c6032bdecebd4b74e15795662986	@['JournalArticle']{clark-etal-2019-what,  author = {Kevin Clark and Urvashi Khandelwal and Omer Levy and Christopher D. Manning},  booktitle = {BlackboxNLP@ACL},  pages = {276-286},  title = {What Does BERT Look at? An Analysis of BERT’s Attention},  year = {2019} }
What Does BERT Learn about the Structure of Language?	2019	https://www.semanticscholar.org/paper/335613303ebc5eac98de757ed02a56377d99e03a	This work provides novel support for the possibility that BERT networks capture structural information about language by performing a series of experiments to unpack the elements of English language structure learned by BERT.	seed	743	BERT is a recent language representation model that has surprisingly performed well in diverse language understanding benchmarks. This result indicates the possibility that BERT networks capture structural information about language. In this work, we provide novel support for this claim by performing a series of experiments to unpack the elements of English language structure learned by BERT. Our findings are fourfold. BERT’s phrasal representation captures the phrase-level information in the lower layers. The intermediate layers of BERT compose a rich hierarchy of linguistic information, starting with surface features at the bottom, syntactic features in the middle followed by semantic features at the top. BERT requires deeper layers while tracking subject-verb agreement to handle long-term dependency problem. Finally, the compositional scheme underlying BERT mimics classical, tree-like structures.	335613303ebc5eac98de757ed02a56377d99e03a	@['JournalArticle', 'Conference']{jawahar-etal-2019-what,  author = {Ganesh Jawahar and Benoît Sagot and Djamé Seddah},  booktitle = {Annual Meeting of the Association for Computational Linguistics},  pages = {3651-3657},  title = {What Does BERT Learn about the Structure of Language?},  year = {2019} }
What does BERT know about distributivity?	2022	http://www.semanticscholar.org/paper/10c8078293b0e37a623fae85794c315ed87d60c7	The goal is to test whether transformer models are able to encode event structural information in their representations of sentences and it is found that BERT may encode information about distributivity in later layers but it can still find a signal as early as layer 1.	maybe	0	Our goal is to test whether transformer models are able to encode event structural information in their representations of sentences. Using [1]’s event classification dataset, we seek to evaluate whether and how BERT may encode information about distributivity. We train classifiers to predict whether a predicate is distributive or collective using each of BERT’s hidden layers contextualized representations of a complete predicate, a predicate span, and an argument span. In line with previous research that suggest that semantic information is encoded in the top layers, we find that BERT may encode information about distributivity in later layers but it can still find a signal as early as layer 1. We also report that while all three types of representation perform in a similar fashion, argument span representations may better encode information about distributivity.	10c8078293b0e37a623fae85794c315ed87d60c7	@None{lu-2022-what,  author = {Jiayi Lu},  title = {What does BERT know about distributivity?},  year = {2022} }
What does BERT know about books, movies and music? Probing BERT for Conversational Recommendation	2020	http://www.semanticscholar.org/paper/cc4db47a416aba22d1073e59a6867b6997928b7c	Overall, the experiments show that: (i) BERT has knowledge stored in its parameters about the content of books, movies and music; (ii) it has more content-based knowledge than collaborative-basedknowledge; and (iii) fails on conversational recommendation when faced with adversarial data.	maybe	29	Heavily pre-trained transformer models such as BERT have recently shown to be remarkably powerful at language modelling, achieving impressive results on numerous downstream tasks. It has also been shown that they implicitly store factual knowledge in their parameters after pre-training. Understanding what the pre-training procedure of LMs actually learns is a crucial step for using and improving them for Conversational Recommender Systems (CRS). We first study how much off-the-shelf pre-trained BERT “knows” about recommendation items such as books, movies and music. In order to analyze the knowledge stored in BERT’s parameters, we use different probes (i.e., tasks to examine a trained model regarding certain properties) that require different types of knowledge to solve, namely content-based and collaborative-based. Content-based knowledge is knowledge that requires the model to match the titles of items with their content information, such as textual descriptions and genres. In contrast, collaborative-based knowledge requires the model to match items with similar ones, according to community interactions such as ratings. We resort to BERT’s Masked Language Modelling (MLM) head to probe its knowledge about the genre of items, with cloze style prompts. In addition, we employ BERT’s Next Sentence Prediction (NSP) head and representations’ similarity (SIM) to compare relevant and non-relevant search and recommendation query-document inputs to explore whether BERT can, without any fine-tuning, rank relevant items first. Finally, we study how BERT performs in a conversational recommendation downstream task. To this end, we fine-tune BERT to act as a retrieval-based CRS. Overall, our experiments show that: (i) BERT has knowledge stored in its parameters about the content of books, movies and music; (ii) it has more content-based knowledge than collaborative-based knowledge; and (iii) fails on conversational recommendation when faced with adversarial data.	cc4db47a416aba22d1073e59a6867b6997928b7c	@['Book', 'JournalArticle']{penha-hauff-2020-what,  author = {Gustavo Penha and C. Hauff},  booktitle = {ACM Conference on Recommender Systems},  journal = {Proceedings of the 14th ACM Conference on Recommender Systems},  title = {What does BERT know about books, movies and music? Probing BERT for Conversational Recommendation},  year = {2020} }
What do you mean, BERT? Assessing BERT as a Distributional Semantics Model	2019	https://www.semanticscholar.org/paper/4bff291cf7fa02a0dbac767aba55d43ad8c59055	This work focuses on BERT, a deep neural network that produces contextualized embeddings and has set the state-of-the-art in several semantic tasks, and studies the semantic coherence of its embedding space, finding that BERT does not fully live up to the natural expectations for a semantic vector space.	seed	32	Contextualized word embeddings, i.e. vector representations for words in context, are naturally seen as an extension of previous noncontextual distributional semantic models. In this work, we focus on BERT, a deep neural network that produces contextualized embeddings and has set the state-of-the-art in several semantic tasks, and study the semantic coherence of its embedding space. While showing a tendency towards coherence, BERT does not fully live up to the natural expectations for a semantic vector space. In particular, we find that the position of the sentence in which a word occurs, while having no meaning correlates, leaves a noticeable trace on the word embeddings and disturbs similarity relationships.	4bff291cf7fa02a0dbac767aba55d43ad8c59055	@['JournalArticle']{mickus-etal-2019-what,  author = {Timothee Mickus and Denis Paperno and Mathieu Constant and Kees van Deemter},  booktitle = {ArXiv},  journal = {ArXiv},  title = {What do you mean, BERT? Assessing BERT as a Distributional Semantics Model},  volume = {abs/1911.05758},  year = {2019} }
What do you mean, BERT?	2020	http://www.semanticscholar.org/paper/a05a614dc4c39a15f708149aa653fa1b696e928d	This work focuses on BERT, a deep neural network that produces contextualized embeddings and has set the state of the art in several semantic tasks, and probes its embedding space for semantic coherence, finding that BERT does not fully live up to the natural expectations for a semantic vector space.	maybe	8	Contextualized word embeddings, i.e. vector representations for words in context, are naturally seen as an extension of previous noncontextual distributional semantic models. In this work, we focus on BERT, a deep neural network that produces contextualized embeddings and has set the state of the art in several semantic tasks, and probe its embedding space for semantic coherence. While showing a tendency towards coherence, BERT does not fully live up to the natural expectations for a semantic vector space. In particular, we find that the position of the sentence in which a word occurs, while having no meaning correlates, leaves a noticeable trace on the word embeddings and disturbs similarity relationships.	a05a614dc4c39a15f708149aa653fa1b696e928d	@None{mickus-etal-2020-what,  author = {Timothee Mickus and Denis Paperno and M. Constant and Kees van Deemter},  booktitle = {SCIL},  title = {What do you mean, BERT?},  year = {2020} }
What do you learn from context? Probing for sentence structure in contextualized word representations	2019	https://www.semanticscholar.org/paper/e2587eddd57bc4ba286d91b27c185083f16f40ee	A novel edge probing task design is introduced and a broad suite of sub-sentence tasks derived from the traditional structured NLP pipeline are constructed to investigate how sentence structure is encoded across a range of syntactic, semantic, local, and long-range phenomena.	seed	583	Contextualized representation models such as ELMo (Peters et al., 2018a) and BERT (Devlin et al., 2018) have recently achieved state-of-the-art results on a diverse array of downstream NLP tasks. Building on recent token-level probing work, we introduce a novel edge probing task design and construct a broad suite of sub-sentence tasks derived from the traditional structured NLP pipeline. We probe word-level contextual representations from four recent models and investigate how they encode sentence structure across a range of syntactic, semantic, local, and long-range phenomena. We find that existing models trained on language modeling and translation produce strong representations for syntactic phenomena, but only offer comparably small improvements on semantic tasks over a non-contextual baseline.	e2587eddd57bc4ba286d91b27c185083f16f40ee	@['JournalArticle']{tenney-etal-2019-what,  author = {Ian Tenney and Patrick Xia and Berlin Chen and Alex Wang and Adam Poliak and R. Thomas McCoy and Najoung Kim and Benjamin Van Durme and Samuel R. Bowman and Dipanjan Das and Ellie Pavlick},  booktitle = {International Conference on Learning Representations},  journal = {ArXiv},  title = {What do you learn from context? Probing for sentence structure in contextualized word representations},  volume = {abs/1905.06316},  year = {2019} }
What do tokens know about their characters and how do they know it?	2022	http://www.semanticscholar.org/paper/9a1a9ae2fc2911f1f275702bef38aa8f79c86986	The mechanisms through which PLMs acquire English-language character information during training are investigated and it is argued that this knowledge is acquired through multiple phenomena, including a systematic relationship between particular characters and particular parts of speech, as well as natural variability in the tokenization of related strings.	maybe	3	Pre-trained language models (PLMs) that use subword tokenization schemes can succeed at a variety of language tasks that require character-level information, despite lacking explicit access to the character composition of tokens. Here, studying a range of models (e.g., GPT- J, BERT, RoBERTa, GloVe), we probe what word pieces encode about character-level information by training classifiers to predict the presence or absence of a particular alphabetical character in a token, based on its embedding (e.g., probing whether the model embedding for “cat” encodes that it contains the character “a”). We find that these models robustly encode character-level information and, in general, larger models perform better at the task. We show that these results generalize to characters from non-Latin alphabets (Arabic, Devanagari, and Cyrillic). Then, through a series of experiments and analyses, we investigate the mechanisms through which PLMs acquire English-language character information during training and argue that this knowledge is acquired through multiple phenomena, including a systematic relationship between particular characters and particular parts of speech, as well as natural variability in the tokenization of related strings.	9a1a9ae2fc2911f1f275702bef38aa8f79c86986	@['JournalArticle', 'Conference']{kaushal-mahowald-2022-what,  author = {Ayush Kaushal and Kyle Mahowald},  booktitle = {North American Chapter of the Association for Computational Linguistics},  pages = {2487-2507},  title = {What do tokens know about their characters and how do they know it?},  year = {2022} }
What Do They Capture? - A Structural Analysis of Pre-Trained Language Models for Source Code	2022	http://www.semanticscholar.org/paper/9e92039847c5ce7186ca579dc863e887601b38ca	A thorough structural analysis is conducted aiming to provide an interpretation of pre-trained language models for source code from three distinctive perspectives: attention analysis, probing on the word embedding, and syntax tree induction.	yes	12	Recently, many pre-trained language models for source code have been proposed to model the context of code and serve as a basis for downstream code intelligence tasks such as code completion, code search, and code summarization. These models leverage masked pre-training and Transformer and have achieved promising results. However, currently there is still little progress regarding interpretability of existing pre-trained code models. It is not clear why these models work and what feature correlations they can capture. In this paper, we conduct a thorough structural analysis aiming to provide an interpretation of pre-trained language models for source code (e.g., CodeBERT, and GraphCodeBERT) from three distinctive perspectives: (1) attention analysis, (2) probing on the word embedding, and (3) syntax tree induction. Through comprehensive analysis, this paper reveals several insightful findings that may inspire future studies: (1) Attention aligns strongly with the syntax structure of code. (2) Pre-training language models of code can preserve the syntax structure of code in the intermediate representations of each Transformer layer. (3) The pre-trained models of code have the ability of inducing syntax trees of code. Theses findings suggest that it may be helpful to incorporate the syntax structure of code into the process of pre-training for better code representations.	9e92039847c5ce7186ca579dc863e887601b38ca	@['JournalArticle', 'Book', 'Conference']{wan-etal-2022-what,  author = {Yao Wan and Wei Zhao and Hongyu Zhang and Yulei Sui and Guandong Xu and Hairong Jin},  booktitle = {International Conference on Software Engineering},  journal = {2022 IEEE/ACM 44th International Conference on Software Engineering (ICSE)},  pages = {2377-2388},  title = {What Do They Capture? - A Structural Analysis of Pre-Trained Language Models for Source Code},  year = {2022} }
What do pre-trained code models know about code?	2021	http://www.semanticscholar.org/paper/70087677fd1a6309829b42968934575d05a95f92	Four probing tasks are constructed (probing for surface-level, syntactic, structural, and semantic information) for pre-trained code models to identify whether models are deficient in (understanding) certain code properties, characterize different model layers, and get insight into the model sample-efficiency.	maybe	19	Pre-trained models of code built on the transformer architecture have performed well on software engineering (SE) tasks such as predictive code generation, code summarization, among others. However, whether the vector representations from these pre-trained models comprehensively encode characteristics of source code well enough to be applicable to a broad spectrum of downstream tasks remains an open question.One way to investigate this is with diagnostic tasks called probes. In this paper, we construct four probing tasks (probing for surface-level, syntactic, structural, and semantic information) for pre-trained code models. We show how probes can be used to identify whether models are deficient in (understanding) certain code properties, characterize different model layers, and get insight into the model sample-efficiency.We probe four models that vary in their expected knowledge of code properties: BERT (pre-trained on English), CodeBERT and CodeBERTa (pre-trained on source code, and natural language documentation), and GraphCodeBERT (pre-trained on source code with dataflow). While GraphCodeBERT performs more consistently overall, we find that BERT performs surprisingly well on some code tasks, which calls for further investigation.	70087677fd1a6309829b42968934575d05a95f92	@['Book', 'JournalArticle', 'Conference']{karmakar-robbes-2021-what,  author = {Anjan Karmakar and R. Robbes},  booktitle = {International Conference on Automated Software Engineering},  journal = {2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE)},  pages = {1332-1336},  title = {What do pre-trained code models know about code?},  year = {2021} }
What do Large Language Models Learn beyond Language?	2022	http://www.semanticscholar.org/paper/5efab88c0cdb11c795fa8f44a5d31b40e2a1c261	It is found that pretrained models outperform comparable non-pretrained neural models on a set of 19 diverse non-linguistic tasks involving quantitative computations, recognizing regular expressions and reasoning over strings, and suggest a deep connection between pretraining and inductive learning abilities of language models.	maybe	0	Large language models (LMs) have rapidly become a mainstay in Natural Language Processing. These models are known to acquire rich linguistic knowledge from training on large amounts of text. In this paper, we investigate if pre-training on text also confers these models with helpful ‘inductive biases’ for non-linguistic reasoning. On a set of 19 diverse non-linguistic tasks involving quantitative computations, recognizing regular expressions and reasoning over strings. We ﬁnd that pretrained models signiﬁcantly outperform comparable non-pretrained neural models. This remains true also in experiments with training non-pretrained models with fewer parameters to account for model regularization effects. We further explore the effect of text domain on LMs by pretraining models from text from different domains and provenances. Our experiments surprisingly reveal that the positive effects of pre-training persist even when pretraining on multi-lingual text or computer code, and even for text generated from synthetic languages. Our ﬁndings suggest a hith-erto unexplored deep connection between pretraining and inductive learning abilities of language models 1 .	5efab88c0cdb11c795fa8f44a5d31b40e2a1c261	@['JournalArticle']{madasu-srivastava-2022-what,  author = {Avinash Madasu and Shashank Srivastava},  booktitle = {ArXiv},  journal = {ArXiv},  title = {What do Large Language Models Learn beyond Language?},  volume = {abs/2210.12302},  year = {2022} }
What do Large Language Models Learn about Scripts?	2021	http://www.semanticscholar.org/paper/1ea78b1684371de0e859edf759e5e659152d31e3	This work introduces the task of generating full event sequence descriptions (ESDs) given a scenario as a natural language prompt and proposes a pipeline-based script induction framework (SIF) which can generate good quality ESDs for unseen scenarios.	maybe	1	Script Knowledge (Schank and Abelson, 1975) has long been recognized as crucial for language understanding as it can help in filling in unstated information in a narrative. However, such knowledge is expensive to produce manually and difficult to induce from text due to reporting bias (Gordon and Van Durme, 2013). In this work, we are interested in the scientific question of whether explicit script knowledge is present and accessible through pre-trained generative language models (LMs). To this end, we introduce the task of generating full event sequence descriptions (ESDs) given a scenario as a natural language prompt. Through zero-shot probing, we find that generative LMs produce poor ESDs with mostly omitted, irrelevant, repeated or misordered events. To address this, we propose a pipeline-based script induction framework (SIF) which can generate good quality ESDs for unseen scenarios (e.g., bake a cake). SIF is a two-staged framework that fine-tunes LM on a small set of ESD examples in the first stage. In the second stage, ESD generated for an unseen scenario is post-processed using RoBERTa-based models to filter irrelevant events, remove repetitions, and reorder the temporally misordered events. Through automatic and manual evaluations, we demonstrate that SIF yields substantial improvements (1-3 BLEU points) over a fine-tuned LM. However, manual analysis shows that there is great room for improvement, offering a new research direction for inducing script knowledge.	1ea78b1684371de0e859edf759e5e659152d31e3	@['JournalArticle']{sancheti-rudinger-2021-what,  author = {Abhilasha Sancheti and Rachel Rudinger},  booktitle = {STARSEM},  pages = {1-11},  title = {What do Large Language Models Learn about Scripts?},  year = {2021} }
What do Bias Measures Measure?	2021	http://www.semanticscholar.org/paper/bdd8530d72f51661f24247c9b5cd936ddb8e5c59	This work presents a comprehensive survey of existing bias measures in NLP as a function of the associated NLP tasks, metrics, datasets, and social biases and corresponding harms and proposes a documentation standard for bias measures to aid their development, categorization, and appropriate usage.	maybe	7	Natural Language Processing (NLP) models propagate social biases about protected attributes such as gender, race, and nationality. To create interventions and mitigate these biases and associated harms, it is vital to be able to detect and measure such biases. While many existing works propose bias evaluation methodologies for different tasks, there remains a need to cohesively understand what biases and normative harms each of these measures captures and how different measures compare. To address this gap, this work presents a comprehensive survey of existing bias measures in NLP as a function of the associated NLP tasks, metrics, datasets, and social biases and corresponding harms. This survey also organizes metrics into different categories to present advantages and disadvantages. Finally, we propose a documentation standard for bias measures to aid their development, categorization, and appropriate usage.	bdd8530d72f51661f24247c9b5cd936ddb8e5c59	@['JournalArticle', 'Review']{dev-etal-2021-what,  author = {Sunipa Dev and Emily Sheng and Jieyu Zhao and Jiao Sun and Yu Hou and M. Sanseverino and Jiin Kim and Nanyun Peng and Kai-Wei Chang},  booktitle = {ArXiv},  journal = {ArXiv},  title = {What do Bias Measures Measure?},  volume = {abs/2108.03362},  year = {2021} }
What Context Features Can Transformer Language Models Use?	2021	http://www.semanticscholar.org/paper/e1bc348fd7da000da6585e82994ecfedcecb5a4c	It is suggested that long contexts, but not their detailed syntactic and propositional content, are important for the low perplexity of current transformer language models.	yes	34	Transformer-based language models benefit from conditioning on contexts of hundreds to thousands of previous tokens. What aspects of these contexts contribute to accurate model prediction? We describe a series of experiments that measure usable information by selectively ablating lexical and structural information in transformer language models trained on English Wikipedia. In both mid- and long-range contexts, we find that several extremely destructive context manipulations—including shuffling word order within sentences and deleting all words other than nouns—remove less than 15% of the usable information. Our results suggest that long contexts, but not their detailed syntactic and propositional content, are important for the low perplexity of current transformer language models.	e1bc348fd7da000da6585e82994ecfedcecb5a4c	@['JournalArticle', 'Conference']{o'connor-andreas-2021-what,  author = {J. O'Connor and Jacob Andreas},  booktitle = {Annual Meeting of the Association for Computational Linguistics},  pages = {851-864},  title = {What Context Features Can Transformer Language Models Use?},  year = {2021} }
What changed? Investigating Debiasing Methods using Causal Mediation Analysis	2022	http://www.semanticscholar.org/paper/145e1755ed68a73c373375f3bb1fd12c2e9f1366	The internal mechanisms of debiasing language models with respect to gender are decompose by applying causal mediation analysis to understand the influence ofdebiasing methods on toxicity detection as a downstream task.	maybe	1	Previous work has examined how debiasing language models affect downstream tasks, specifically, how debiasing techniques influence task performance and whether debiased models also make impartial predictions in downstream tasks or not. However, what we don’t understand well yet is why debiasing methods have varying impacts on downstream tasks and how debiasing techniques affect internal components of language models, i.e., neurons, layers, and attentions. In this paper, we decompose the internal mechanisms of debiasing language models with respect to gender by applying causal mediation analysis to understand the influence of debiasing methods on toxicity detection as a downstream task. Our findings suggest a need to test the effectiveness of debiasing methods with different bias metrics, and to focus on changes in the behavior of certain components of the models, e.g.,first two layers of language models, and attention heads.	145e1755ed68a73c373375f3bb1fd12c2e9f1366	@['JournalArticle']{jeoung-diesner-2022-what,  author = {Su-Ha Jeoung and Jana Diesner},  booktitle = {GEBNLP},  journal = {ArXiv},  title = {What changed? Investigating Debiasing Methods using Causal Mediation Analysis},  volume = {abs/2206.00701},  year = {2022} }
What Can a Generative Language Model Answer About a Passage?	2021	http://www.semanticscholar.org/paper/28885f6f67b8537eea390de2e62f7e06b844c9bd	This paper keeps the passage fixed, test with a wide variety of question types, exploring the strengths and weaknesses of the GPT-3 language model, and provides the passage and test questions as a challenge set for other language models.	maybe	4	Generative language models trained on large, diverse corpora can answer questions about a passage by generating the most likely continuation of the passage followed by a question/answer pair. However, accuracy rates vary depending on the type of question asked. In this paper we keep the passage fixed, and test with a wide variety of question types, exploring the strengths and weaknesses of the GPT-3 language model. We provide the passage and test questions as a challenge set for other language models.	28885f6f67b8537eea390de2e62f7e06b844c9bd	@None{stay-etal-2021-what,  author = {Douglas Summers-Stay and Claire Bonial and Clare R. Voss},  booktitle = {Workshop on Machine Reading for Question Answering},  journal = {Proceedings of the 3rd Workshop on Machine Reading for Question Answering},  title = {What Can a Generative Language Model Answer About a Passage?},  year = {2021} }
What BERTs and GPTs know about your brand? Probing contextual language models for affect associations	2021	http://www.semanticscholar.org/paper/bc5f9a01a0b9e3015c094ff92f5ff1863612a2b7	It is believed that any kind of bias for a brand and attribute pair may influence customer-centric downstream tasks such as recommender systems, sentiment analysis, and question-answering, e.g., suggesting a specific brand consistently when queried for innovative products.	maybe	0	Investigating brand perception is fundamental to marketing strategies. In this regard, brand image, defined by a set of attributes (Aaker, 1997), is recognized as a key element in indicating how a brand is perceived by various stakeholders such as consumers and competitors. Traditional approaches (e.g., surveys) to monitor brand perceptions are time-consuming and inefficient. In the era of digital marketing, both brand managers and consumers engage with a vast amount of digital marketing content. The exponential growth of digital content has propelled the emergence of pre-trained language models such as BERT and GPT as essential tools in solving myriads of challenges with textual data. This paper seeks to investigate the extent of brand perceptions (i.e., brand and image attribute associations) these language models encode. We believe that any kind of bias for a brand and attribute pair may influence customer-centric downstream tasks such as recommender systems, sentiment analysis, and question-answering, e.g., suggesting a specific brand consistently when queried for innovative products. We use synthetic data and real-life data and report comparison results for five contextual LMs, viz. BERT, RoBERTa, DistilBERT, ALBERT and BART.	bc5f9a01a0b9e3015c094ff92f5ff1863612a2b7	@['JournalArticle', 'Review']{srivastava-etal-2021-what,  author = {Vivek Srivastava and Stephen Pilli and S. Bhat and N. Pedanekar and Shirish S. Karande},  booktitle = {Workshop on Knowledge Extraction and Integration for Deep Learning Architectures; Deep Learning Inside Out},  pages = {119-128},  title = {What BERTs and GPTs know about your brand? Probing contextual language models for affect associations},  year = {2021} }
What BERT Is Not: Lessons from a New Suite of Psycholinguistic Diagnostics for Language Models	2019	https://www.semanticscholar.org/paper/a0e49f65b6847437f262c59d0d399255101d0b75	A suite of diagnostics drawn from human language experiments are introduced, which allow us to ask targeted questions about information used by language models for generating predictions in context, and the popular BERT model is applied.	seed	343	Pre-training by language modeling has become a popular and successful approach to NLP tasks, but we have yet to understand exactly what linguistic capacities these pre-training processes confer upon models. In this paper we introduce a suite of diagnostics drawn from human language experiments, which allow us to ask targeted questions about information used by language models for generating predictions in context. As a case study, we apply these diagnostics to the popular BERT model, finding that it can generally distinguish good from bad completions involving shared category or role reversal, albeit with less sensitivity than humans, and it robustly retrieves noun hypernyms, but it struggles with challenging inference and role-based event prediction— and, in particular, it shows clear insensitivity to the contextual impacts of negation.	a0e49f65b6847437f262c59d0d399255101d0b75	@['JournalArticle']{ettinger-2019-what,  author = {Allyson Ettinger},  booktitle = {International Conference on Topology, Algebra and Categories in Logic},  journal = {Transactions of the Association for Computational Linguistics},  pages = {34-48},  title = {What BERT Is Not: Lessons from a New Suite of Psycholinguistic Diagnostics for Language Models},  volume = {8},  year = {2019} }
